gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s),delta_x,delta_y,delta_z,delta_vx,delta_vy,delta_vz
-2.706999848637507297e+06,4.688713039346721955e+06,3.360430855549266096e+06,-1.658780764686408268e-03,-9.502579521161926834e-01,1.040101907068134574e-01,4.961049926001578569e+00,-1.597295289393514395e+01,2.713014746084809303e+00,-4.853525300897860301e-02,7.995965880747357701e-02,1.174405989041907294e-01
-2.707010701979991049e+06,4.688715724011478946e+06,3.360438934867901262e+06,1.820935571981136328e-02,-1.020944987656040137e+00,-3.690751005984327544e-03,-1.085334248375147581e+01,2.684664756990969181e+00,8.079318635165691376e+00,1.986813648449776981e-02,-7.068703553984745369e-02,-1.077009417127977875e-01
-2.707010476717726327e+06,4.688705052317339927e+06,3.360425858459790703e+06,-4.485011262377502916e-02,-1.007671354291912236e+00,-9.859257800409360062e-02,2.252622647210955620e-01,-1.067169413901865482e+01,-1.307640811055898666e+01,-6.305946834358638897e-02,1.327363336412790140e-02,-9.490182699810927047e-02
-2.707005007883443031e+06,4.688710446907940321e+06,3.360431150189508218e+06,1.696616095131175256e-02,-1.065521518924774425e+00,3.544619736398225973e-03,5.468834283296018839e+00,5.394590600393712521e+00,5.291729717515408993e+00,6.181627357508678172e-02,-5.785016463286218880e-02,1.021371977404918197e-01
-2.707011097049262840e+06,4.688704855690432712e+06,3.360431817603839561e+06,-8.883364301719383349e-02,-9.737510411885588191e-01,3.876299956028222971e-02,-6.089165819808840752e+00,-5.591217507608234882e+00,6.674143313430249691e-01,-1.057998039685055791e-01,9.177047773621560545e-02,3.521837982388400373e-02
-2.707009853645431809e+06,4.688711985328402370e+06,3.360429969965603668e+06,1.857810836876114605e-02,-1.044665104587485072e+00,3.820582903397983648e-02,1.243403831031173468e+00,7.129637969657778740e+00,-1.847638235893100500e+00,1.074117513859549761e-01,-7.091406339892625255e-02,-5.571705263023932209e-04
-2.707014068963205907e+06,4.688710219354608096e+06,3.360436590673355851e+06,3.133130474069301813e-02,-9.606043312451173488e-01,-2.252462974692199735e-02,-4.215317774098366499e+00,-1.765973794274032116e+00,6.620707752183079720e+00,1.275319637193187208e-02,8.406077334236772280e-02,-6.073045878090183036e-02
-2.707013420061764773e+06,4.688712235779920593e+06,3.360438857546052895e+06,7.371398607598605990e-02,-9.845211764791717002e-01,-2.068635972213064833e-02,6.489014411345124245e-01,2.016425312496721745e+00,2.266872697044163942e+00,4.238268133529304177e-02,-2.391684523405435137e-02,1.838270024791349017e-03
-2.707008826445744839e+06,4.688712989385711960e+06,3.360434459028392099e+06,-1.608908796078966502e-02,-9.416557436023941241e-01,-5.724776734554703345e-02,4.593616019934415817e+00,7.536057913675904274e-01,-4.398517660796642303e+00,-8.980307403677573186e-02,4.286543287677757608e-02,-3.656140762341638512e-02
-2.707008721842376515e+06,4.688706369246160612e+06,3.360433781050291844e+06,9.214133944962152323e-02,-9.851633630815792575e-01,5.084952701220222387e-02,1.046033683232963085e-01,-6.620139551348984241e+00,-6.779781002551317215e-01,1.082304274104111952e-01,-4.350761947918513339e-02,1.080972943577492573e-01
